time_stamp,humidity,temperature,pressure,pm2.5_atm,pm2.5_cf_1,pm2.5_cf_1_b,sensor_index
1679832000,48,45,985.94,3.9,3.9,4.6,80807
1687701600,66,60,985.77,20.0,20.0,20.2,80807
1672678800,45,58,983.51,7.8,7.9,7.5,80807
1677646800,69,51,981.65,2.2,2.2,2.6,80807
1677686400,58,49,974.83,0.1,0.1,0.2,80807
1674277200,60,48,992.31,12.6,12.6,13.4,80807
1674324000,26,61,994.11,1.1,1.1,1.2,80807
1674284400,63,46,992.44,11.4,11.4,12.8,80807
1682060400,36,63,987.79,5.0,5.0,5.2,80807
1675951200,43,50,990.17,1.1,1.1,1.3,80807
1675972800,17,77,989.94,1.5,1.5,1.2,80807
1682834400,60,64,983.07,24.1,24.2,24.9,80807
1685030400,56,63,980.39,8.1,8.1,8.2,80807
1677096000,24,57,977.35,0.2,0.2,0.3,80807
1677103200,43,49,977.15,0.2,0.2,0.3,80807
1678964400,70,56,983.47,3.5,3.5,3.9,80807
1680242400,65,48,986.95,3.0,3.0,3.3,80807
1680220800,48,57,982.7,0.0,0.0,0.0,80807
1680231600,52,54,984.69,0.5,0.5,0.6,80807
1680958800,64,51,985.21,7.8,7.8,8.4,80807
1683205200,70,53,978.84,0.0,0.0,0.0,80807
1683190800,72,53,978.44,0.8,0.8,0.9,80807
1679986800,36,55,987.41,2.0,2.0,2.1,80807
1680040800,19,72,984.13,11.1,11.1,10.7,80807
1678089600,64,54,987.25,3.8,3.8,4.1,80807
1678129200,36,60,988.55,0.6,0.6,0.8,80807
1684814400,66,66,981.01,29.0,29.4,30.0,80807
1673917200,51,56,976.23,0.3,0.3,0.4,80807
1673920800,55,54,976.92,0.3,0.3,0.4,80807
1676980800,52,50,980.4,7.2,7.2,7.8,80807
1687932000,54,68,979.75,13.6,13.6,13.2,80807
1687978800,47,75,980.65,28.7,29.3,27.6,80807
1676030400,40,50,988.45,1.3,1.3,1.6,80807
1676818800,40,47,984.68,3.6,3.6,4.1,80807
1674738000,42,50,993.45,2.8,2.8,3.0,80807
1674748800,30,59,995.03,1.9,1.9,1.9,80807
1676512800,31,53,989.53,1.9,1.9,2.1,80807
1676548800,33,42,991.15,0.3,0.3,0.5,80807
1676538000,29,44,991.7,0.3,0.3,0.4,80807
1676505600,18,60,987.66,1.0,1.0,1.0,80807
1687298400,40,79,983.3,12.9,12.9,12.2,80807
1687287600,36,79,983.5,14.2,14.2,13.3,80807
1686891600,66,66,981.94,18.7,18.7,18.3,80807
1676214000,60,47,980.6,3.8,3.8,4.6,80807
1676170800,52,55,981.07,2.8,2.8,3.3,80807
1676235600,38,62,977.86,5.6,5.6,5.8,80807
1676217600,48,55,980.6,7.7,7.7,8.0,80807
1677931200,69,45,980.94,15.3,15.3,17.6,80807
1677949200,58,55,983.92,21.2,21.5,21.1,80807
1675843200,42,51,991.0,1.7,1.7,1.9,80807
1675832400,40,55,990.76,4.6,4.6,4.7,80807
1675850400,44,49,990.79,1.1,1.1,0.9,80807
1675854000,45,48,990.56,2.6,2.6,0.6,80807
1675836000,40,54,990.82,3.7,3.7,3.9,80807
1675886400,19,73,990.84,7.0,7.0,6.5,80807
1687762800,61,62,982.99,16.4,16.4,16.2,80807
1684548000,56,70,984.63,32.9,34.1,34.5,80807
1684544400,53,72,984.13,33.7,35.1,35.1,80807
1684584000,64,66,985.61,43.2,50.0,52.2,80807
1684623600,44,79,984.0,25.3,25.3,25.1,80807
1680386400,24,72,986.57,1.8,1.8,1.7,80807
1674104400,62,49,988.8,6.5,6.5,7.0,80807
1675609200,65,56,990.18,40.0,43.2,44.1,80807
1675616400,69,57,991.11,39.9,43.0,42.7,80807
1675638000,44,66,987.57,2.6,2.6,2.7,80807
1683507600,39,69,984.47,1.5,1.5,1.5,80807
1683572400,45,71,984.49,34.5,36.3,34.6,80807
1684767600,67,66,982.01,42.3,48.2,50.1,80807
1684774800,63,68,982.05,42.6,49.2,49.4,80807
1673265600,61,58,987.56,21.4,21.4,20.1,80807
1673269200,64,57,988.43,15.8,15.8,15.1,80807
1673276400,70,55,988.9,11.2,11.2,10.9,80807
1680872400,47,54,984.28,5.3,5.3,5.6,80807
1680840000,30,61,984.38,4.0,4.0,4.2,80807
1680897600,23,74,984.65,18.2,18.2,17.1,80807
1683964800,62,63,980.61,17.8,17.8,18.2,80807
1675018800,58,56,980.62,7.1,7.1,7.0,80807
1687010400,67,67,983.14,32.7,33.9,33.6,80807
1687042800,42,83,980.61,14.2,14.2,13.2,80807
1682168400,51,59,980.5,5.5,5.5,5.8,80807
1687892400,36,80,979.49,25.3,25.3,23.8,80807
1687888800,40,78,979.68,23.4,23.4,21.9,80807
1679760000,52,58,987.49,5.0,5.0,5.1,80807
1679742000,58,46,987.35,2.8,2.8,3.5,80807
1679763600,47,60,987.37,5.7,5.7,5.7,80807
1673611200,58,51,988.2,0.2,0.2,0.2,80807
1673578800,51,60,989.02,5.2,5.2,5.2,80807
1673600400,53,54,988.38,0.3,0.3,0.5,80807
1673589600,59,54,989.71,6.0,6.0,6.2,80807
1673622000,56,51,989.04,0.4,0.4,0.6,80807
1678888800,76,59,980.68,0.5,0.5,0.6,80807
1678914000,72,63,981.09,9.1,9.1,9.3,80807
1678845600,82,57,983.81,0.4,0.4,0.5,80807
1678921200,68,62,981.17,5.3,5.3,5.6,80807
1681470000,70,56,979.48,9.3,9.3,10.1,80807
1681466400,70,56,979.46,8.4,8.4,9.2,80807
1681513200,51,63,982.55,13.4,13.4,13.5,80807
1681448400,70,56,979.81,7.6,7.6,8.2,80807
1687132800,46,77,979.37,17.2,17.2,16.1,80807
1687161600,64,65,980.82,26.7,26.7,26.4,80807
1672542000,89,56,977.89,1.4,1.4,1.4,80807
1685725200,52,68,983.19,10.5,10.5,10.6,80807
1678608000,73,62,987.56,9.6,9.6,10.1,80807
1678647600,55,68,988.1,6.7,6.7,6.4,80807
1676077200,14,72,984.58,1.9,1.9,2.0,80807
1676098800,32,58,983.38,4.6,4.6,4.8,80807
1684368000,44,77,977.7,17.6,17.6,17.1,80807
1684375200,56,69,978.33,18.3,18.3,17.9,80807
1688014800,55,69,980.14,17.0,17.0,16.2,80807
1688050800,64,66,982.04,37.2,40.9,39.8,80807
1676458800,26,46,982.9,0.1,0.1,0.2,80807
1679580000,69,53,989.66,2.2,2.2,2.7,80807
1681992000,58,50,986.36,7.3,7.3,8.1,80807
1683781200,57,63,985.08,5.1,5.1,5.3,80807
1678528800,80,58,984.57,8.0,8.0,8.5,80807
1678543200,76,59,985.18,2.2,2.2,2.5,80807
1687568400,40,73,982.64,12.7,12.7,12.0,80807
1687629600,39,75,984.96,14.7,14.7,13.6,80807
1687633200,36,77,984.46,14.9,14.9,13.9,80807
1682787600,43,74,984.01,38.8,43.4,42.3,80807
1675299600,24,63,988.57,2.9,2.9,3.0,80807
1675378800,15,71,991.89,6.4,6.4,5.8,80807
1673010000,71,45,989.89,0.8,0.8,1.2,80807
1680800400,18,70,986.09,5.7,5.7,5.5,80807
1673053200,58,58,989.16,5.0,5.0,5.5,80807
1685174400,59,62,982.56,7.8,7.8,8.0,80807
1685581200,70,61,980.29,9.2,9.2,9.4,80807
1685631600,66,62,980.95,19.1,19.1,19.6,80807
1685588400,68,62,980.52,13.7,13.7,14.5,80807
1683864000,56,63,982.94,15.3,15.3,15.7,80807
1681808400,59,60,982.22,18.7,18.7,19.2,80807
1680678000,38,54,986.99,2.4,2.4,2.6,80807
1680724800,19,67,986.61,8.7,8.7,8.2,80807
1685894400,60,66,980.35,34.3,35.9,36.9,80807
1685836800,45,76,979.64,16.5,16.5,16.2,80807
1677992400,52,55,984.54,11.8,11.8,12.3,80807
1675083600,69,48,980.9,0.0,0.0,0.0,80807
1675094400,67,51,982.1,0.2,0.2,0.3,80807
1676275200,64,52,980.13,12.5,12.5,13.2,80807
1681758000,59,61,982.95,41.4,45.7,45.8,80807
1681696800,54,64,983.49,14.4,14.4,14.2,80807
1681005600,52,65,985.19,4.3,4.3,4.2,80807
1678363200,64,47,986.5,6.1,6.1,7.0,80807
1677452400,47,53,988.17,4.0,4.0,3.9,80807
1677448800,45,53,987.87,6.7,6.7,6.2,80807
1685934000,60,66,979.64,14.0,14.0,14.3,80807
1685404800,51,70,981.8,20.2,20.2,19.4,80807
1685448000,60,64,982.19,7.1,7.1,7.6,80807
1683046800,52,58,981.12,2.3,2.3,2.3,80807
1683050400,48,60,981.04,2.4,2.4,2.6,80807
1683057600,41,64,980.6,1.8,1.8,1.8,80807
1683025200,66,54,979.51,1.9,1.9,2.2,80807
1684047600,62,66,979.81,44.7,52.6,54.5,80807
1684040400,65,64,979.61,41.0,45.6,46.1,80807
1679619600,60,58,989.2,1.9,1.9,2.3,80807
1679695200,26,66,988.2,3.4,3.4,3.7,80807
1679626800,67,57,989.61,3.7,3.7,3.9,80807
1679680800,40,62,991.17,4.5,4.5,4.3,80807
1675540800,21,71,988.26,7.2,7.2,6.5,80807
1675530000,28,65,989.2,3.4,3.4,3.2,80807
1682636400,33,80,979.88,20.5,20.5,19.4,80807
1682575200,61,64,981.92,26.9,27.1,27.6,80807
1682406000,64,62,980.44,28.5,28.8,29.8,80807
1677589200,70,48,985.0,5.9,5.9,7.2,80807
1677553200,69,53,986.47,11.6,11.6,12.4,80807
1683748800,42,69,984.26,12.8,12.8,12.0,80807
1683684000,51,63,981.85,3.8,3.8,4.2,80807
1683680400,52,65,981.6,5.6,5.6,6.0,80807
1683741600,50,64,984.88,11.9,11.9,11.7,80807
1682913600,68,60,979.69,22.7,22.7,22.2,80807
1673467200,52,60,991.27,3.1,3.1,3.5,80807
1673406000,65,55,987.32,4.6,4.6,5.1,80807
1673395200,62,59,985.44,2.5,2.5,3.2,80807
1677358800,67,46,981.22,0.3,0.3,0.4,80807
1682528400,44,75,983.2,30.9,31.3,29.9,80807
1681635600,67,54,986.21,12.4,12.4,13.1,80807
