time_stamp,humidity,temperature,pressure,pm2.5_atm,pm2.5_cf_1,pm2.5_cf_1_b,sensor_index
1688047200,,,,17.7,17.7,24.9,1680
1686380400,54.0,72.0,1000.76,6.8,6.8,10.0,1680
1681506000,41.0,74.0,1001.5,7.9,7.9,11.3,1680
1675029600,47.0,64.0,998.22,2.9,2.9,4.3,1680
1674986400,46.0,65.0,1000.78,2.0,2.0,3.2,1680
1686520800,46.0,78.0,999.88,1.6,1.6,2.8,1680
1686474000,61.0,71.0,998.11,5.5,5.5,8.3,1680
1686441600,46.0,79.0,998.03,10.9,10.9,15.8,1680
1679598000,43.0,70.0,1010.22,1.4,1.4,2.3,1680
1679533200,61.0,60.0,1005.46,0.2,0.2,0.3,1680
1678539600,67.0,67.0,1003.22,2.9,2.9,4.4,1680
1678219200,26.0,77.0,1005.83,2.9,2.9,4.5,1680
1678194000,52.0,56.0,1006.96,3.3,3.3,4.9,1680
1678179600,52.0,59.0,1007.24,2.9,2.9,4.4,1680
1678197600,52.0,55.0,1007.14,4.0,4.0,5.9,1680
1676934000,16.0,88.0,1001.42,5.4,5.4,7.9,1680
1687863600,,,,6.9,6.9,9.7,1680
1682690400,57.0,69.0,1001.21,33.3,37.6,49.2,1680
1682697600,47.0,76.0,1001.47,35.3,40.9,53.7,1680
1675695600,49.0,60.0,1009.91,4.3,4.3,6.3,1680
1675717200,15.0,81.0,1007.22,0.3,0.3,0.5,1680
1686578400,61.0,72.0,1003.34,7.3,7.3,10.3,1680
1686610800,44.0,79.0,1002.83,4.0,4.0,6.1,1680
1686589200,48.0,78.0,1003.07,6.3,6.3,9.3,1680
1686582000,59.0,72.0,1003.5,5.4,5.4,8.0,1680
1686564000,63.0,71.0,1002.51,6.5,6.5,9.6,1680
1685728800,40.0,80.0,1001.78,7.5,7.5,11.0,1680
1676455200,24.0,56.0,1000.96,0.1,0.1,0.2,1680
1687194000,49.0,76.0,1001.64,7.5,7.5,10.8,1680
1682373600,34.0,87.0,997.18,11.8,11.8,16.8,1680
1682308800,50.0,74.0,996.89,8.4,8.4,12.1,1680
1682316000,53.0,72.0,997.26,10.8,10.8,15.3,1680
1682366400,37.0,84.0,998.28,13.6,13.6,19.2,1680
1677830400,50.0,57.0,1005.18,3.9,3.9,5.9,1680
1677870000,30.0,73.0,1002.41,9.4,9.4,13.3,1680
1672941600,68.0,65.0,1004.49,0.6,0.6,1.0,1680
1685095200,46.0,72.0,999.89,3.3,3.3,5.0,1680
1685062800,40.0,77.0,997.88,3.3,3.3,5.0,1680
1685084400,47.0,72.0,1000.07,3.8,3.8,5.6,1680
1685098800,48.0,72.0,999.72,3.8,3.8,5.7,1680
1686157200,45.0,75.0,1001.84,1.9,1.9,3.1,1680
1686733200,55.0,71.0,1000.9,8.1,8.1,11.8,1680
1686718800,51.0,74.0,1001.66,5.0,5.0,7.5,1680
1685628000,57.0,71.0,999.16,8.1,8.1,11.8,1680
1685656800,47.0,76.0,1000.29,13.8,13.8,19.7,1680
1685660400,47.0,77.0,1000.42,14.6,14.6,20.9,1680
1674504000,14.0,78.0,1001.62,0.3,0.3,0.6,1680
1684749600,55.0,74.0,1000.31,17.8,17.8,24.4,1680
1674122400,51.0,54.0,1008.06,4.7,4.7,7.3,1680
1685757600,40.0,78.0,1000.38,5.5,5.5,8.2,1680
1685793600,54.0,67.0,999.66,9.7,9.7,13.9,1680
1679749200,50.0,56.0,1006.51,2.2,2.2,3.6,1680
1673377200,69.0,63.0,1003.74,0.6,0.6,1.1,1680
1673373600,75.0,66.0,1002.89,1.7,1.7,2.8,1680
1673308800,56.0,65.0,1005.64,0.8,0.8,1.4,1680
1685260800,54.0,71.0,1000.44,8.9,8.9,12.9,1680
1685311200,42.0,80.0,999.78,10.5,10.5,15.2,1680
1685300400,48.0,75.0,1001.1,11.1,11.1,16.0,1680
1673546400,32.0,74.0,1010.31,1.1,1.1,1.9,1680
1678698000,59.0,68.0,1007.25,13.5,13.5,18.6,1680
1678741200,38.0,81.0,1004.98,14.3,14.3,20.0,1680
1673254800,48.0,68.0,1007.08,15.8,15.8,22.3,1680
1673305200,59.0,65.0,1005.26,0.6,0.6,1.2,1680
1673258400,48.0,68.0,1006.75,13.6,13.6,19.1,1680
1682139600,27.0,80.0,1000.63,5.1,5.1,7.5,1680
1682197200,15.0,102.0,995.83,5.7,5.7,8.5,1680
1674932400,30.0,74.0,1002.19,10.1,10.1,14.1,1680
1677913200,52.0,60.0,1000.92,11.4,11.4,15.7,1680
1677960000,37.0,71.0,1002.09,1.7,1.7,2.7,1680
1676109600,29.0,65.0,999.56,3.0,3.0,4.5,1680
1676124000,30.0,60.0,998.93,2.5,2.5,3.9,1680
1683990000,55.0,73.0,998.84,22.3,22.8,31.6,1680
1678651200,43.0,79.0,1006.4,7.9,7.9,11.3,1680
1673766000,67.0,64.0,996.33,6.3,6.3,9.0,1680
1673798400,66.0,62.0,998.63,4.1,4.1,6.4,1680
1686952800,34.0,92.0,1000.33,14.5,14.5,20.5,1680
1686888000,52.0,75.0,1000.08,3.8,3.8,5.7,1680
1686927600,56.0,75.0,1001.74,14.2,14.2,19.7,1680
1681974000,42.0,66.0,1005.14,6.6,6.6,9.5,1680
1681981200,45.0,64.0,1004.96,6.3,6.3,8.9,1680
1682006400,28.0,76.0,1006.39,4.4,4.4,6.6,1680
1687759200,45.0,75.0,1001.68,7.5,7.5,11.1,1680
1687748400,37.0,80.0,1000.77,6.0,6.0,9.2,1680
1687737600,28.0,91.0,1000.63,7.8,7.8,11.7,1680
1676188800,46.0,61.0,999.91,4.3,4.3,6.1,1680
1676815200,39.0,53.0,1002.86,8.7,8.7,12.8,1680
1683511200,35.0,75.0,1003.25,1.0,1.0,1.8,1680
1683507600,30.0,79.0,1003.1,0.9,0.9,1.7,1680
1684224000,54.0,73.0,1003.34,17.6,17.6,24.2,1680
1682838000,52.0,70.0,1001.61,19.6,19.7,27.2,1680
1673175600,51.0,60.0,1007.28,8.4,8.4,12.1,1680
1683158400,36.0,73.0,997.53,0.5,0.5,1.0,1680
1683187200,54.0,64.0,998.01,0.5,0.5,0.9,1680
1683201600,62.0,63.0,997.14,0.6,0.6,1.2,1680
1678082400,56.0,63.0,1006.62,3.0,3.0,4.5,1680
1680264000,51.0,56.0,1007.95,2.7,2.7,4.1,1680
1680224400,38.0,67.0,1001.57,0.2,0.2,0.4,1680
1676584800,11.0,77.0,1007.89,1.0,1.0,1.7,1680
1676570400,15.0,72.0,1011.49,0.6,0.6,1.2,1680
1687226400,44.0,80.0,1000.16,3.7,3.7,5.7,1680
1679986800,27.0,67.0,1005.82,1.5,1.5,2.6,1680
1679342400,44.0,75.0,999.82,4.5,4.5,6.6,1680
1679310000,62.0,66.0,999.19,7.4,7.4,10.5,1680
1678795200,60.0,67.0,1002.98,14.2,14.2,19.4,1680
1682262000,52.0,74.0,996.15,9.4,9.4,13.3,1680
1682233200,38.0,77.0,995.23,10.4,10.4,14.7,1680
1687539600,35.0,80.0,1004.39,4.9,4.9,7.3,1680
1687536000,40.0,75.0,1004.47,4.8,4.8,7.2,1680
1687485600,37.0,79.0,1000.48,4.3,4.3,6.5,1680
1677031200,50.0,65.0,992.11,5.3,5.3,7.7,1680
1677056400,39.0,57.0,990.7,3.1,3.1,5.9,1680
1685368800,58.0,73.0,1001.07,14.1,14.1,19.8,1680
1672660800,50.0,55.0,999.52,2.2,2.2,3.5,1680
1672642800,48.0,60.0,997.94,8.0,8.1,12.0,1680
1672671600,51.0,58.0,1001.43,3.3,3.3,5.4,1680
1672693200,36.0,68.0,1002.43,2.5,2.5,4.0,1680
1672689600,34.0,70.0,1002.36,1.6,1.6,2.7,1680
1681149600,38.0,83.0,1003.72,26.3,28.0,37.7,1680
1681110000,50.0,70.0,1004.15,13.0,13.0,17.7,1680
1679850000,37.0,70.0,1006.44,4.2,4.2,6.1,1680
1679857200,24.0,77.0,1005.7,3.7,3.7,5.8,1680
1681171200,30.0,90.0,1001.55,12.0,12.0,16.8,1680
1681207200,58.0,68.0,1002.6,30.4,33.3,43.6,1680
1674838800,24.0,71.0,1008.77,3.0,3.0,4.5,1680
1674824400,43.0,54.0,1009.92,4.0,4.0,6.0,1680
1680069600,44.0,67.0,1002.91,3.6,3.6,5.4,1680
1685512800,50.0,71.0,1000.55,1.5,1.5,2.5,1680
1685538000,50.0,71.0,998.86,1.5,1.5,2.6,1680
1685527200,48.0,71.0,999.24,0.9,0.9,1.6,1680
1677754800,43.0,53.0,1001.53,1.1,1.1,2.0,1680
1677765600,45.0,50.0,1003.78,2.8,2.8,4.4,1680
1677762000,43.0,51.0,1002.79,1.8,1.8,3.0,1680
1675159200,55.0,56.0,1001.88,14.8,14.8,20.9,1680
1675126800,48.0,65.0,999.92,2.7,2.7,4.3,1680
1684422000,53.0,75.0,998.77,25.2,26.5,35.7,1680
1684407600,55.0,70.0,996.92,13.5,13.5,18.8,1680
1684368000,33.0,89.0,995.76,9.7,9.7,14.0,1680
1676613600,25.0,59.0,1007.76,0.7,0.7,1.2,1680
1687932000,,,,5.6,6.5,10.3,1680
1687910400,,,,9.9,9.9,14.1,1680
1687964400,,,,13.0,13.0,18.5,1680
1687978800,,,,14.6,14.6,21.1,1680
1673924400,54.0,62.0,996.16,2.5,2.5,4.0,1680
1673971200,49.0,61.0,999.43,5.0,5.0,7.5,1680
1679054400,56.0,58.0,1003.86,9.6,9.7,14.7,1680
1681408800,60.0,67.0,997.17,9.5,9.5,13.4,1680
1686218400,53.0,68.0,1002.02,6.6,6.6,9.7,1680
1683255600,56.0,68.0,1001.94,1.2,1.2,2.0,1680
1683248400,43.0,71.0,1000.71,0.7,0.7,1.3,1680
1674370800,43.0,57.0,1009.23,26.3,27.4,37.5,1680
1674385200,46.0,53.0,1007.02,13.7,13.7,19.4,1680
1674374400,45.0,56.0,1008.55,22.5,23.0,31.9,1680
1684296000,47.0,75.0,1001.41,4.1,4.1,6.2,1680
1684306800,52.0,72.0,1001.26,9.0,9.0,12.7,1680
1683698400,51.0,67.0,1001.4,2.9,2.9,4.6,1680
1683734400,46.0,71.0,1003.71,3.5,3.5,5.3,1680
