time_stamp,humidity,temperature,pressure,pm2.5_atm,pm2.5_cf_1,pm2.5_cf_1_b,sensor_index
1672786800,69,60,1000.77,6.4,6.4,5.5,94397
1676905200,39,56,1002.91,15.3,15.3,13.1,94397
1675728000,16,76,1003.82,0.8,0.8,0.7,94397
1679727600,32,55,1005.38,1.7,1.7,1.4,94397
1686960000,38,84,997.92,19.9,19.9,17.2,94397
1686963600,49,75,998.35,21.0,21.0,18.3,94397
1683950400,60,65,997.69,15.1,15.1,12.7,94397
1683975600,67,61,996.0,17.2,17.2,14.6,94397
1683936000,37,80,996.45,18.7,22.2,19.7,94397
1685815200,46,74,998.16,15.4,15.4,13.4,94397
1685811600,50,72,998.37,14.8,14.8,12.9,94397
1685818800,41,79,997.86,15.6,15.6,13.4,94397
1674982800,54,58,998.61,6.9,6.9,5.7,94397
1684422000,59,68,996.45,45.8,61.0,54.1,94397
1684404000,64,64,994.69,37.6,43.6,38.3,94397
1686391200,65,65,997.03,15.4,15.4,13.7,94397
1685671200,53,68,998.39,10.0,10.0,9.2,94397
1685703600,59,65,998.33,9.3,9.3,8.0,94397
1687208400,46,78,998.07,12.3,12.3,10.5,94397
1675893600,16,81,1005.82,3.0,3.0,2.4,94397
1675832400,32,62,1006.97,10.4,10.4,8.7,94397
1675890000,16,80,1006.09,3.3,3.3,2.5,94397
1673287200,66,58,1004.98,5.1,5.1,4.3,94397
1680876000,39,59,1001.19,16.1,16.1,13.7,94397
1680879600,37,61,1001.66,21.5,21.5,18.5,94397
1676484000,16,68,1005.36,1.8,1.8,1.4,94397
1676498400,12,73,1003.91,1.2,1.2,1.0,94397
1676458800,29,49,999.82,0.8,0.8,0.7,94397
1685264400,61,64,997.91,12.4,12.4,10.7,94397
1685232000,36,80,997.72,8.2,8.2,6.8,94397
1686524400,55,70,997.74,5.9,5.9,5.2,94397
1673762400,76,60,993.85,9.2,9.2,8.2,94397
1680379200,26,75,1003.73,4.1,4.1,3.1,94397
1680339600,61,54,1004.19,13.8,13.8,11.4,94397
1672945200,72,63,1001.67,5.1,5.1,4.8,94397
1682168400,45,65,996.52,12.9,12.9,10.8,94397
1686124800,59,64,997.88,2.5,2.5,2.3,94397
1673114400,35,68,1005.89,3.5,3.7,3.4,94397
1673064000,62,58,1006.27,21.3,21.3,18.4,94397
1673071200,57,56,1005.78,12.0,12.0,10.1,94397
1672848000,75,61,1003.8,7.9,7.9,7.0,94397
1675674000,40,55,1004.74,0.1,0.1,0.1,94397
1679580000,70,53,1006.5,4.2,4.2,3.5,94397
1679540400,71,54,1003.65,4.4,4.4,3.6,94397
1679533200,69,56,1002.89,8.4,10.6,9.2,94397
1681783200,55,62,997.66,20.7,20.7,17.7,94397
1678168800,53,54,1005.21,1.9,1.9,1.5,94397
1678147200,32,67,1003.55,0.6,0.6,0.5,94397
1678158000,55,56,1004.97,2.4,2.4,2.0,94397
1685124000,41,72,998.4,6.2,6.2,5.0,94397
1685628000,59,66,996.72,10.0,10.0,8.4,94397
1685638800,57,67,997.78,11.9,11.9,9.9,94397
1677207600,61,49,1001.02,2.9,2.9,2.6,94397
1677236400,71,47,1000.06,3.4,3.4,2.8,94397
1674435600,39,62,995.65,21.6,22.0,18.8,94397
1683842400,29,86,998.51,16.3,16.3,13.9,94397
1683802800,65,61,1000.13,7.3,7.3,6.1,94397
1683824400,50,68,1000.89,20.9,20.9,17.7,94397
1682676000,64,62,997.48,42.2,52.7,46.9,94397
1681934400,26,76,1001.0,6.5,6.5,5.5,94397
1681891200,59,57,999.95,12.2,12.2,10.4,94397
1673355600,79,59,1000.6,0.4,0.4,0.4,94397
1673312400,78,56,1002.24,3.8,3.8,3.3,94397
1676106000,29,61,997.76,6.5,6.5,5.2,94397
1682841600,64,63,998.85,40.5,49.1,43.3,94397
1682816400,55,66,998.57,18.0,18.0,15.5,94397
1686704400,48,72,998.82,8.2,8.2,7.3,94397
1686711600,58,67,998.97,9.2,9.2,8.0,94397
1677870000,32,72,999.99,20.7,20.7,17.2,94397
1677884400,29,77,997.47,8.3,8.3,6.8,94397
1673197200,41,64,1006.77,12.4,12.4,10.7,94397
1673193600,49,60,1005.65,15.9,15.9,13.5,94397
1678104000,68,54,1003.95,2.6,2.6,2.1,94397
1678107600,68,53,1004.2,4.7,4.7,4.0,94397
1678964400,66,57,1000.03,4.6,4.6,4.0,94397
1678989600,61,60,1002.95,9.9,9.9,8.4,94397
1678960800,66,58,1000.21,4.6,4.6,3.8,94397
1679961600,13,80,1002.69,7.8,7.8,6.7,94397
1682042400,22,77,1002.49,7.9,7.9,6.6,94397
1685030400,51,67,996.62,6.8,6.8,5.7,94397
1679317200,71,60,996.81,20.8,20.8,18.1,94397
1679313600,72,59,996.56,15.2,15.2,13.2,94397
1679292000,74,57,998.02,14.1,14.1,12.3,94397
1687996800,32,88,994.79,13.5,13.5,12.0,94397
1688068800,34,87,996.58,22.2,22.2,19.8,94397
1688025600,63,65,996.46,9.8,9.8,8.7,94397
1688007600,53,69,995.82,17.2,17.2,15.0,94397
1687989600,30,92,995.5,17.4,17.4,15.5,94397
1675962000,22,77,1006.91,2.2,2.2,1.8,94397
1677070800,43,48,990.83,3.8,3.8,3.8,94397
1686841200,66,66,998.33,14.4,14.4,12.6,94397
1686798000,60,67,996.81,10.6,10.6,9.5,94397
