time_stamp,humidity,temperature,pressure,pm2.5_atm,pm2.5_cf_1,pm2.5_cf_1_b,sensor_index
1686916800,50,70,929.4,16.1,16.1,14.8,25413
1686909600,50,70,928.54,16.7,16.7,15.3,25413
1681729200,46,59,929.57,14.1,14.1,12.6,25413
1681768800,25,80,927.47,9.5,9.5,8.3,25413
1681516800,24,77,928.38,7.1,7.1,6.2,25413
1681578000,25,66,936.07,5.8,5.8,5.0,25413
1681560000,47,48,933.23,9.8,9.8,8.8,25413
1674140400,54,42,934.36,9.5,9.5,7.3,25413
1674151200,40,55,934.82,2.9,2.9,1.2,25413
1683363600,48,54,932.74,2.6,2.6,2.0,25413
1683388800,41,62,933.61,3.8,3.8,3.2,25413
1677402000,62,39,929.55,13.0,13.2,9.4,25413
1682434800,25,71,928.79,4.0,4.0,3.8,25413
1682427600,30,66,927.85,3.8,3.8,3.3,25413
1682424000,32,65,927.5,3.7,3.7,3.3,25413
1676718000,29,38,933.36,23.7,26.7,16.7,25413
1686301200,41,67,931.35,10.7,10.7,10.4,25413
1686294000,40,68,931.66,10.8,10.8,10.6,25413
1684544400,22,92,930.22,13.3,13.3,12.2,25413
1684602000,22,90,934.1,9.4,9.4,8.5,25413
1682625600,7,101,930.42,4.4,4.4,3.5,25413
1682593200,32,64,930.19,7.4,7.4,6.4,25413
1682607600,31,70,931.96,9.1,9.2,8.6,25413
1675270800,31,42,939.96,5.4,5.4,3.7,25413
1677585600,62,44,931.83,2.2,2.2,1.4,25413
1677607200,47,50,932.96,3.7,3.8,1.1,25413
1673474400,35,65,938.79,2.0,2.0,0.8,25413
1673445600,56,44,937.78,6.4,7.2,5.9,25413
1673427600,54,49,936.5,4.0,4.0,2.2,25413
1682528400,24,77,933.56,6.0,6.0,5.4,25413
1683712800,55,55,928.27,8.3,8.3,7.3,25413
1679500800,51,49,930.78,4.9,5.1,2.6,25413
1679518800,41,59,932.48,1.7,1.7,0.9,25413
1674396000,35,44,932.71,5.0,5.0,2.6,25413
1674370800,45,40,939.34,42.7,52.7,43.9,25413
1674378000,46,38,937.69,24.0,26.2,17.9,25413
1674403200,30,52,931.72,4.1,4.1,1.1,25413
1684144800,22,70,932.15,4.8,4.8,4.7,25413
1684177200,10,101,934.22,6.4,6.4,5.9,25413
1684314000,23,72,930.4,6.3,6.3,6.2,25413
1684357200,6,105,927.46,7.6,7.6,6.1,25413
1676386800,57,47,927.36,8.4,8.4,5.9,25413
1676401200,35,49,925.83,40.1,50.8,34.8,25413
1677146400,52,39,927.2,9.8,10.0,2.9,25413
1679356800,37,60,925.67,4.8,4.8,4.0,25413
1675389600,20,60,941.92,10.3,10.3,8.7,25413
1675443600,35,52,941.26,7.5,7.5,4.5,25413
1675436400,40,44,941.05,6.5,6.5,5.1,25413
1675450800,22,61,941.18,2.5,2.5,1.2,25413
1675461600,13,75,938.14,2.0,2.0,1.1,25413
1681653600,42,55,934.55,14.0,14.0,11.0,25413
1687420800,29,69,928.66,6.2,6.2,5.7,25413
1681408800,31,67,924.13,7.4,7.4,6.3,25413
1673852400,57,52,922.17,15.2,16.3,2.5,25413
1673902800,39,58,923.42,1.6,1.6,0.4,25413
1676646000,30,38,936.8,12.6,12.6,11.5,25413
1676624400,22,40,938.12,21.8,23.0,14.5,25413
1676620800,21,42,938.4,26.6,27.6,20.4,25413
1674576000,45,39,943.41,9.7,10.3,6.2,25413
1674572400,46,34,942.48,12.1,12.1,11.0,25413
1674518400,13,68,934.64,1.5,1.5,0.7,25413
1674187200,49,45,934.97,12.6,12.6,11.0,25413
1674190800,51,45,935.52,14.9,14.9,13.7,25413
1687338000,19,66,930.96,4.0,4.0,3.3,25413
1687366800,15,81,930.95,4.2,4.2,3.4,25413
1686196800,41,69,930.72,10.7,10.7,10.3,25413
1673668800,48,53,934.72,16.1,16.1,13.7,25413
1674838800,40,44,939.68,11.9,11.9,7.0,25413
1674820800,42,37,940.58,13.1,13.1,11.3,25413
1674849600,18,68,935.1,3.0,3.0,1.7,25413
1685559600,27,83,926.49,10.4,10.4,10.0,25413
1685509200,48,62,928.09,9.6,9.6,8.7,25413
1685548800,41,70,927.08,10.4,10.4,9.4,25413
1684922400,40,62,926.87,11.5,11.5,10.5,25413
1684929600,43,60,927.18,16.7,16.7,15.4,25413
1684951200,20,83,927.7,5.4,5.4,4.9,25413
1683324000,26,72,932.4,2.2,2.2,1.5,25413
1684706400,19,96,929.66,8.5,8.5,8.0,25413
1681236000,21,84,932.03,6.7,6.7,5.7,25413
1681210800,42,64,931.41,12.7,12.7,11.5,25413
1681254000,15,92,928.99,7.7,7.7,7.1,25413
1679824800,41,43,934.68,14.8,14.8,13.7,25413
1678446000,53,55,930.83,1.7,1.7,1.1,25413
1678467600,53,60,930.79,1.2,1.2,0.6,25413
1680134400,28,58,925.85,2.6,2.6,2.1,25413
1681160400,9,100,933.16,4.0,4.0,3.8,25413
1681142400,33,68,935.48,5.7,5.7,5.1,25413
1682218800,33,74,927.15,7.8,7.8,7.0,25413
1682290800,16,90,925.01,3.9,3.9,3.4,25413
1682262000,39,71,927.25,8.9,8.9,8.0,25413
1682258400,44,65,926.89,11.8,11.8,10.4,25413
1682244000,43,67,926.41,10.6,10.6,9.5,25413
1682211600,16,91,926.35,6.9,6.9,6.1,25413
1677787200,20,65,935.41,1.7,1.7,1.1,25413
1685318400,21,85,926.36,10.0,10.0,9.1,25413
1685361600,45,62,928.4,13.6,13.6,12.3,25413
1672668000,56,40,930.02,18.9,20.5,9.1,25413
1685174400,47,63,928.68,12.9,12.9,11.7,25413
1685163600,44,65,928.51,12.3,12.3,10.7,25413
1680102000,64,50,927.28,2.0,2.0,1.0,25413
1680073200,24,53,929.08,6.3,6.3,3.7,25413
1685851200,25,79,927.65,9.1,9.1,8.5,25413
1680530400,55,45,927.44,1.6,1.6,1.1,25413
1680505200,57,55,928.06,15.7,15.7,14.4,25413
1680519600,66,47,927.21,5.5,5.5,4.9,25413
1683874800,44,67,930.16,16.9,16.9,16.2,25413
1683039600,42,58,927.21,3.9,3.9,3.1,25413
1678017600,55,45,930.66,9.6,9.6,8.9,25413
1677996000,54,47,930.51,13.3,13.3,12.9,25413
1678014000,54,45,930.21,9.1,9.1,8.1,25413
1684483200,27,77,929.23,11.9,11.9,11.3,25413
1684508400,25,81,931.42,8.1,8.1,7.3,25413
1684519200,13,96,931.85,7.5,7.5,7.1,25413
1682730000,10,97,929.56,6.1,6.1,5.3,25413
1678240800,39,56,932.51,4.9,4.9,3.9,25413
1678258800,47,47,933.6,11.1,11.1,9.7,25413
1687564800,14,93,929.52,8.6,8.6,7.5,25413
1675486800,32,52,937.9,20.9,21.1,14.7,25413
1675537200,23,62,938.69,7.2,7.2,5.6,25413
1675504800,40,43,937.55,9.9,9.9,7.9,25413
1677535200,50,53,932.19,1.9,1.9,0.8,25413
1683590400,22,82,930.91,7.9,7.9,5.4,25413
1682902800,14,88,925.06,8.9,8.9,8.0,25413
1682956800,40,64,924.61,3.3,3.3,2.8,25413
1680692400,37,45,935.21,6.1,6.1,5.2,25413
1681041600,48,53,935.5,21.1,21.2,13.8,25413
