time_stamp,humidity,temperature,pressure,pm2.5_atm,pm2.5_cf_1,pm2.5_cf_1_b,sensor_index,latitude,longitude
1686506400,44.0,81.0,999.59,2.5,2.5,4.0,1680,34.09655,-117.97032
1686495600,64.0,70.0,999.11,3.5,3.5,5.5,1680,34.09655,-117.97032
1678518000,67.0,67.0,1003.6,3.2,3.2,4.7,1680,34.09655,-117.97032
1678492800,67.0,66.0,1003.64,9.3,10.0,13.5,1680,34.09655,-117.97032
1678568400,62.0,74.0,1004.5,1.5,1.5,2.5,1680,34.09655,-117.97032
1681812000,52.0,68.0,1000.79,14.1,14.1,19.6,1680,34.09655,-117.97032
1681819200,51.0,68.0,1001.04,8.5,8.5,12.1,1680,34.09655,-117.97032
1681837200,40.0,75.0,1001.94,9.6,9.6,13.5,1680,34.09655,-117.97032
1678183200,52.0,59.0,1007.04,2.8,2.8,4.3,1680,34.09655,-117.97032
1678147200,30.0,71.0,1005.63,0.3,0.3,0.6,1680,34.09655,-117.97032
1678158000,45.0,63.0,1007.44,0.7,0.7,1.3,1680,34.09655,-117.97032
1680375600,21.0,84.0,1006.18,6.1,6.1,8.8,1680,34.09655,-117.97032
1676901600,43.0,56.0,1004.72,7.1,7.1,10.2,1680,34.09655,-117.97032
1676919600,19.0,83.0,1004.48,4.7,4.7,6.9,1680,34.09655,-117.97032
1672776000,56.0,67.0,1004.08,0.1,0.1,0.1,1680,34.09655,-117.97032
1672711200,51.0,64.0,1003.74,4.7,4.7,6.9,1680,34.09655,-117.97032
1672758000,60.0,60.0,1004.6,0.9,0.9,1.5,1680,34.09655,-117.97032
1672747200,58.0,60.0,1003.55,0.1,0.1,0.2,1680,34.09655,-117.97032
1687827600,,,,7.1,7.1,10.8,1680,34.09655,-117.97032
1687845600,,,,15.7,17.6,25.9,1680,34.09655,-117.97032
1682679600,56.0,69.0,999.88,30.8,34.1,44.9,1680,34.09655,-117.97032
1686560400,63.0,71.0,1002.22,7.3,7.3,10.5,1680,34.09655,-117.97032
1679101200,39.0,77.0,1000.81,9.7,9.7,13.6,1680,34.09655,-117.97032
1687147200,49.0,76.0,998.93,5.6,5.6,8.3,1680,34.09655,-117.97032
1687172400,52.0,73.0,999.03,7.9,7.9,11.6,1680,34.09655,-117.97032
1682323200,53.0,72.0,997.41,13.3,13.3,18.5,1680,34.09655,-117.97032
1672563600,67.0,65.0,993.15,3.7,3.7,5.8,1680,34.09655,-117.97032
1675749600,39.0,61.0,1009.04,5.9,5.9,8.2,1680,34.09655,-117.97032
1675810800,15.0,84.0,1008.69,1.1,1.1,2.0,1680,34.09655,-117.97032
1675731600,22.0,74.0,1007.03,0.5,0.5,1.0,1680,34.09655,-117.97032
1683086400,42.0,67.0,1000.02,0.4,0.4,0.8,1680,34.09655,-117.97032
1683154800,32.0,75.0,997.28,0.5,0.5,0.9,1680,34.09655,-117.97032
1683115200,52.0,62.0,998.99,2.7,2.7,4.1,1680,34.09655,-117.97032
1685116800,45.0,73.0,1000.64,3.5,3.5,5.5,1680,34.09655,-117.97032
1683770400,39.0,74.0,1002.76,2.5,2.5,4.0,1680,34.09655,-117.97032
1686132000,50.0,72.0,999.97,4.4,4.4,6.7,1680,34.09655,-117.97032
1686099600,40.0,77.0,998.34,3.2,3.2,5.0,1680,34.09655,-117.97032
1679212800,38.0,69.0,1002.44,5.4,5.4,7.8,1680,34.09655,-117.97032
1679248800,32.0,75.0,1002.01,3.9,3.9,5.7,1680,34.09655,-117.97032
