time_stamp,humidity,temperature,pressure,pm2.5_atm,pm2.5_cf_1,pm2.5_cf_1_b,sensor_index
1675508400,48,58,1019.75,27.8,28.8,23.1,2946
1680660000,43,65,1017.87,2.5,2.5,1.7,2946
1680721200,31,73,1019.12,5.6,5.6,4.4,2946
1673244000,50,69,1020.58,9.7,10.0,8.0,2946
1673236800,48,69,1020.26,16.4,16.4,14.0,2946
1681009200,56,68,1017.34,0.4,0.4,0.2,2946
1678305600,39,70,1020.66,2.0,2.0,1.4,2946
1678359600,50,61,1018.63,8.2,8.2,6.6,2946
1675051200,54,62,1011.61,3.0,3.0,2.3,2946
1678636800,63,67,1020.03,11.8,11.9,9.6,2946
1672851600,68,67,1019.32,2.4,2.4,1.9,2946
1672858800,69,68,1018.49,2.0,2.0,1.5,2946
1673028000,49,68,1023.79,5.4,5.4,4.5,2946
1672988400,57,62,1022.74,8.9,8.9,7.6,2946
1680415200,55,65,1019.1,14.7,14.7,12.0,2946
1681099200,60,65,1017.1,8.9,8.9,7.2,2946
1681153200,51,70,1016.85,13.2,13.2,10.5,2946
1681164000,51,70,1015.65,11.9,11.9,9.3,2946
1677297600,65,62,1009.47,6.7,6.9,5.7,2946
1677333600,62,57,1010.48,4.7,4.7,3.6,2946
1679626800,49,67,1021.39,3.4,3.4,2.6,2946
1679684400,35,74,1023.32,1.6,1.6,1.1,2946
1679695200,40,71,1021.16,2.3,2.3,1.7,2946
1679616000,47,70,1020.92,3.7,3.7,2.8,2946
1682269200,43,80,1009.63,11.6,11.6,9.1,2946
1682290800,47,76,1008.64,10.6,10.6,8.2,2946
1682222400,52,73,1008.13,16.2,17.1,14.0,2946
1677776400,25,67,1018.21,2.1,2.1,1.6,2946
1676275200,52,60,1011.38,12.6,12.6,10.0,2946
1676286000,52,60,1010.71,10.5,10.5,8.3,2946
1676264400,48,63,1010.48,17.3,17.3,14.1,2946
1680822000,33,75,1015.1,2.7,2.7,2.0,2946
1680746400,39,69,1016.44,2.7,2.7,2.0,2946
1672617600,45,70,1007.04,3.2,3.2,2.4,2946
1672693200,38,68,1014.86,4.2,4.2,3.4,2946
1672686000,41,66,1015.17,7.2,7.2,6.0,2946
